TicketID,FieldID,FieldName,FieldData,TicketID,Asset Ownership ,Computer Hardware,Computer-Related Hardware,Conference 1 - Projector part affected,CSC Ticket Number,CSC Ticket Submission Date,Facility Asset Selection,Hardware Type,Laptop-related,Location of Issue,Network / Connection Issues,Network / Connection Related,Parking / Parking Lot Issue,PC / Tower - Related,Pratt & Whitney UCA Asset Types,Printing Hardware,Printing Issues,Projectors,PSI Owned Asset Types,Software ,Software Issues,Telecommunication Hardware Issues,Telecommunication Hardware
119,IT Support,PSI-LAPTOP101,Windows,119,PSI Owned ,,Laptop,,,,,PC / Laptop / Walk-up,Keyboard / Mouse / 3D Mouse,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Hardware,,,,
120,IT Support,PSI-LAPTOP101,Windows,120,PSI Owned ,,,,,,,,,CT - PSI UCA Hartford,,,,,,,,,Software,Antivirus,Needed / Not installed,,
122,IT Support,PSI-LAPTOP101,Windows,122,PSI Owned ,,,,,,,,,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Software,,,,
123,IT Support,PSI-LAPTOP101,Windows,123,PSI Owned ,,,,,,,,,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Software,MS Office,License availability,,
124,IT Support,PSI-LAPTOP101,Windows,124,PSI Owned ,,,,,,,,,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Software,,Access Permission,,
125,IT Support,PSI-LAPTOP101,Windows,125,PSI Owned ,,,,,,,,,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Software,ATT Connect,Needed / Not installed,,
126,IT Support,PSI-LAPTOP101,Windows,126,PSI Owned ,,,,,,,,,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Software,MS Office,License availability,,
127,IT Support,PSI-LAPTOP101,Windows,127,PSI Owned ,,Laptop,,,,,PC / Laptop / Walk-up,Charger,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Hardware,,,,
128,IT Support,PSI-LAPTOP101,Windows,128,PSI Owned ,,,,,,,,,GA - PSI UCA Atlanta,,,,,,,,,Software,ANSYS,Other,,
129,IT Support,PSI-LAPTOP101,Windows,129,PSI Owned ,,,,,,,Other,,GA - PSI UCA Atlanta,,,,,,,,,Hardware,,,,
130,IT Support,PSI-LAPTOP101,Windows,130,PSI Owned ,,,,,,,,,CT - PSI UCA Hartford,,,,,,,,,Software,Antivirus,Other,,
131,IT Support,PSI-LAPTOP101,Windows,131,PSI Owned ,,PC / Tower,,,,,PC / Laptop / Walk-up,,FL - PSI East Admin (900 E. Indiantown),,,,Memory,,,,,Hardware,,,,
132,IT Support,PSI-LAPTOP101,Windows,132,PSI Owned ,,,,,,,,,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Connection,,,,
133,IT Support,PSI-LAPTOP101,Windows,133,PSI Owned ,,,,,,,Other,,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Hardware,,,,
135,IT Support,PSI-LAPTOP101,Windows,135,PSI Owned ,,,,,,,Other,,CT - PSI UCA Hartford,,,,,,,,,Hardware,,,,
136,IT Support,PSI-LAPTOP101,Windows,136,PSI Owned ,,,,,,,,,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Connection,,,,
137,IT Support,PSI-LAPTOP101,Windows,137,PSI Owned ,,,,,,,,,CT - PSI UCA Hartford,Broken link ***Provide filepath in comment section,Disconnected,,,,,,,Connection,,,,
138,IT Support,PSI-LAPTOP101,Windows,138,PSI Owned ,,,,,,,,,REMOTE / Offsite Access,,,,,,,,,Software,Antivirus,Error shown,,
139,IT Support,PSI-LAPTOP101,Windows,139,PSI Owned ,,,,,,,Other,,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Hardware,,,,
140,IT Support,PSI-LAPTOP101,Windows,140,PSI Owned ,,PC / Tower,,,,,PC / Laptop / Walk-up,,FL - PSI East Admin (900 E. Indiantown),,,,Memory,,,,,Hardware,,,,
141,IT Support,PSI-LAPTOP101,Windows,141,PSI Owned ,,,,,,,Printing Hardware,,FL - PSI East Admin (900 E. Indiantown),,,,,,Scanner,,,Hardware,,,,
142,IT Support,PSIB2T01,Windows,142,Pratt & Whitney UCA Assets,,,,32563425634,7/7/2017 0:00,,,,FL - PSI UCA West,,,,,,,,,,,,,
144,IT Support,PSI-LAPTOP101,Windows,144,PSI Owned ,,,,,,,Other,,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Hardware,,,,
145,IT Support,PSIB2T01,Windows,145,PSI Owned ,,,,,,,,,FL - PSI Office West,Other,Other,,,,,,,Connection,,,,
146,IT Support,PSI-LAPTOP101,Windows,146,PSI Owned ,,PC / Tower,,,,,PC / Laptop / Walk-up,,CT - PSI UCA Hartford,,,,,,,,,Hardware,,,,
147,IT Support,PSI-LAPTOP101,Windows,147,PSI Owned ,,,,,,,,,FL - PSI East Admin (900 E. Indiantown),Remote access,Disconnected,,,,,,,Connection,,,,
148,IT Support,PSI-LAPTOP101,Windows,148,PSI Owned ,,,,,,,Other,,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Hardware,,,,
149,IT Support,PSI-LAPTOP101,Windows,149,PSI Owned ,,,,,,,,,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Software,Internet Explorer,Other,,
150,IT Support,PSI-LAPTOP101,Windows,150,PSI Owned ,,,,,,,,,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Software,PDF Reader,Needed / Not installed,,
153,IT Support,PSI-LAPTOP101,Windows,153,PSI Owned ,,,,,,,,,FL - PSI East Office (900 E. Indiantown),,,,,,,,,Software,Internet Explorer,Other,,
154,IT Support,PSI-LAPTOP101,Windows,154,PSI Owned ,,,,,,,,,FL - PSI East Office (900 E. Indiantown),,,,,,,,,Software,MS Outlook,Other,,
157,IT Support,PSI-LAPTOP101,Windows,157,PSI Owned ,,,,,,,,,GA - PSI UCA Atlanta,,,,,,,,,Software,UG / NX,License availability,,
158,IT Support,PSI-LAPTOP101,Windows,158,PSI Owned ,,,,,,,,,FL - PSI UCA West,,,,,,,,,Software,Antivirus,Needed / Not installed,,
159,IT Support,PSI-LAPTOP101,Windows,159,PSI Owned ,,PC / Tower,,,,,PC / Laptop / Walk-up,,FL - PSI East Office (900 E. Indiantown),,,,Monitor,,,,,Hardware,,,,
161,IT Support,PSI-LAPTOP101,Windows,161,PSI Owned ,,Laptop,,,,,PC / Laptop / Walk-up,Memory,FL - PSI East Office (900 E. Indiantown),,,,,,,,,Hardware,,,,
162,IT Support,PSI-LAPTOP101,Windows,162,PSI Owned ,,Laptop,,,,,PC / Laptop / Walk-up,Charger,FL - PSI East Office (900 E. Indiantown),,,,,,,,,Hardware,,,,
163,IT Support,PSI-LAPTOP101,Windows,163,PSI Owned ,,,,,,,,,FL - PSI East Office (900 E. Indiantown),Other,Other,,,,,,,Connection,,,,
